Type,Name,Unit,Category,Water
Vegetable,Peas,can,stew,medium
Vegetable,Corn,can,stew,medium
Vegetable,Diced Tomato,can,stew,wet
Vegetable,Kale,cup,stew,medium
Vegetable,Zucchini,cup,"cake,stew",medium
Vegetable,Carrot,cup,"cake,stew",medium
Base,tomato paste,can,stew,medium
Base,chicken stock,cup,stew,wet
Base,coconut cream,can,stew,wet
Oil,Olive oil,tablespoon,"cake,stew",wet
Oil,Vegetable oil,tablespoon,"cake,stew",wet
Oil,Butter,tablespoon,"cake,stew",medium
Oil,Coconut oil,tablespoon,"cake,stew",medium
Spices,Cinnamon,teaspoon,"cake,stew",dry
Spices,Nutmeg,teaspoon,"cake,stew",dry
Spices,Cocoa,teaspoon,"cake,stew",dry
Spices,Ginger,teaspoon,"cake,stew",dry
Spices,Basil,teaspoon,"cake,stew",dry
Spices,Oregano,teaspoon,"cake,stew",dry
Spices,Thyme,teaspoon,"cake,stew",dry
Spices,Rosemary,teaspoon,"cake,stew",dry
Flour,White Flour,cup,cake,dry
Flour,Whole Wheat Flour,cup,cake,dry
Flour,Cornmeal,cup,cake,dry
Flour,Oats,cup,cake,dry
Sugar,White Sugar,cup,cake,medium
Sugar,Brown Sugar,cup,cake,medium
Sugar,Molasses,cup,cake,wet
Condiments,Peanut Butter,tablespoon,"cake,stew",medium
Condiments,Soy Sauce,tablespoon,"cake,stew",wet
Condiments,Balsamic Vinegar,tablespoon,"cake,stew",wet
Condiments,Mustard,tablespoon,"cake,stew",medium
Condiments,Vanilla,teaspoon,cake,wet
Condiments,Almond Extract,teaspoon,cake,wet
Condiments,Lemon Juice,tablespoon,"cake,stew",wet
Eggs,Eggs,egg,cake,wet
Base,Milk,cup,cake,wet
Leavening,Baking Powder,tablespoon,cake,dry
