Type,Name,Unit,Category,Water
Vegetable,Peas,can,stew,medium
Vegetable,Carrot,cup,"cake,stew",medium
Base,chicken stock,cup,stew,wet
Oil,Vegetable oil,tablespoon,"cake,stew",wet
Oil,Butter,tablespoon,"cake,stew",medium
Spices,Cinnamon,teaspoon,cake,dry
Spices,Basil,teaspoon,stew,dry
Flour,White Flour,cup,cake,dry
Flour,Whole Wheat Flour,cup,cake,dry
Sugar,White Sugar,cup,cake,medium
Condiments,Peanut Butter,tablespoon,"cake,stew",medium
Condiments,Vanilla,teaspoon,cake,wet
Condiments,Lemon Juice,tablespoon,"cake,stew",wet
Eggs,Eggs,egg,cake,wet
Base,Milk,cup,cake,wet
Leavening,Baking Powder,tablespoon,cake,dry
